SOCCode	Element_ID	Element_Name	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	2.C.2.a	Production and Processing	49.721421066		All occ	31886.547839	1	All occupations	2	0
00-0000	2.C.2.a	Production and Processing	39.054740728		All occ	26747.939311	2	All occupations	2	0
00-0000	2.C.2.a	Production and Processing	20.436725003		All occ	28257.790703	3	All occupations	2	0
00-0000	2.C.2.a	Production and Processing	60.850674361		All occ	49146.200711	0	All occupations	3	0
00-0000	2.C.2.a	Production and Processing	43.320964002		All occ	44667.721299	1	All occupations	3	0
00-0000	2.C.2.a	Production and Processing	33.409613998		All occ	43801.981719	2	All occupations	3	0
00-0000	2.C.2.a	Production and Processing	19.120007132		All occ	37625.411154	3	All occupations	3	0
00-0000	2.C.2.a	Production and Processing	61.062670784		All occ	89807.56469	0	All occupations	4	0
00-0000	2.C.2.a	Production and Processing	41.906172004		All occ	70254.340577	1	All occupations	4	0
00-0000	2.C.2.a	Production and Processing	30.550925282		All occ	65950.795605	2	All occupations	4	0
00-0000	2.C.2.a	Production and Processing	17.941603333		All occ	62839.895787	3	All occupations	4	0
00-0000	2.C.2.a	Production and Processing	46.542044516		All occ	103374.45132	0	All occupations	5	0
00-0000	2.C.2.a	Production and Processing	30.078537898		All occ	85361.859395	1	All occupations	5	0
00-0000	2.C.2.a	Production and Processing	22.86122149		All occ	70314.495446	2	All occupations	5	0
00-0000	2.C.2.a	Production and Processing	13.177380947		All occ	89482.555408	3	All occupations	5	0
00-0000	2.C.2.b	Food Production	49.823256818		All occ	19414.780686	0	All occupations	1	0
00-0000	2.C.2.b	Food Production	27.150600607		All occ	19453.42759	1	All occupations	1	0
00-0000	2.C.2.b	Food Production	15.97704016		All occ	24280.315779	2	All occupations	1	0
00-0000	2.C.2.b	Food Production	6.0243042285		All occ	27700.020024	3	All occupations	1	0
00-0000	2.C.2.b	Food Production	29.409586741		All occ	28196.109506	0	All occupations	2	0
00-0000	2.C.2.b	Food Production	11.778762821		All occ	26180.584904	1	All occupations	2	0
00-0000	2.C.2.b	Food Production	5.7475002491		All occ	31074.387136	2	All occupations	2	0
00-0000	2.C.2.b	Food Production	1.4888986814		All occ	36603.407586	3	All occupations	2	0
00-0000	2.C.2.b	Food Production	21.018995621		All occ	38678.829165	0	All occupations	3	0
00-0000	2.C.2.b	Food Production	10.868768492		All occ	42647.404526	1	All occupations	3	0
00-0000	2.C.2.b	Food Production	5.552327029		All occ	47628.444974	2	All occupations	3	0
00-0000	2.C.2.b	Food Production	1.0337018854		All occ	42834.137902	3	All occupations	3	0
00-0000	2.C.2.b	Food Production	20.617232601		All occ	60539.002697	0	All occupations	4	0
00-0000	2.C.2.b	Food Production	12.526038521		All occ	71625.010824	1	All occupations	4	0
00-0000	2.C.2.b	Food Production	6.8234628924		All occ	75665.137958	2	All occupations	4	0
00-0000	2.C.2.b	Food Production	1.2260578785		All occ	74322.60564	3	All occupations	4	0
00-0000	2.C.2.b	Food Production	20.959053055		All occ	97717.686071	0	All occupations	5	0
00-0000	2.C.2.b	Food Production	12.854805602		All occ	77706.049334	1	All occupations	5	0
00-0000	2.C.2.b	Food Production	6.7683860224		All occ	85841.511075	2	All occupations	5	0
00-0000	2.C.2.b	Food Production	2.9752516269		All occ	101685.63479	3	All occupations	5	0
00-0000	2.C.3.a	Computers and Electronics	38.958212341		All occ	20337.575866	0	All occupations	1	0
00-0000	2.C.3.a	Computers and Electronics	30.83100675		All occ	20253.714411	1	All occupations	1	0
00-0000	2.C.3.a	Computers and Electronics	22.66515664		All occ	19776.055487	2	All occupations	1	0
00-0000	2.C.3.a	Computers and Electronics	12.905592094		All occ	23613.023517	3	All occupations	1	0
00-0000	2.C.3.a	Computers and Electronics	52.479185391		All occ	30344.35959	0	All occupations	2	0
00-0000	2.C.3.a	Computers and Electronics	39.919132246		All occ	32039.544766	1	All occupations	2	0
00-0000	2.C.3.a	Computers and Electronics	32.279317895		All occ	29100.799273	2	All occupations	2	0
00-0000	2.C.3.a	Computers and Electronics	21.154330423		All occ	26414.779885	3	All occupations	2	0
00-0000	2.C.3.a	Computers and Electronics	68.830494888		All occ	47725.112438	0	All occupations	3	0
00-0000	2.C.3.a	Computers and Electronics	60.6208309		All occ	40586.308608	1	All occupations	3	0
00-0000	2.C.3.a	Computers and Electronics	51.285305591		All occ	45515.949738	2	All occupations	3	0
00-0000	2.C.3.a	Computers and Electronics	38.0284168		All occ	34924.193863	3	All occupations	3	0
00-0000	2.C.3.a	Computers and Electronics	85.742362711		All occ	89405.549277	0	All occupations	4	0
00-0000	2.C.3.a	Computers and Electronics	65.62144825		All occ	66724.044258	1	All occupations	4	0
00-0000	2.C.3.a	Computers and Electronics	59.984586666		All occ	73822.551941	2	All occupations	4	0
00-0000	2.C.3.a	Computers and Electronics	50.182095691		All occ	59642.358788	3	All occupations	4	0
00-0000	2.C.3.a	Computers and Electronics	72.753384895		All occ	81434.945174	0	All occupations	5	0
